Departamento,Operadora,Municipio,Contrato,Campo,ENERO,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
CASANARE,GEOPARK COLOMBIA PN S.A SUCURSAL COLOMBIA (Winchester),TAURAMENA,E&P LLANOS 34,TUA,0.04,0.04,0.06,0.04,0.05,0.07,0.08,0.07,0.06,0.06,0.04,0.09
CASANARE,GEOPARK COLOMBIA PN S.A SUCURSAL COLOMBIA (Winchester),VILLA NUEVA,E&P LLANOS 34,TUA,0.02,0.02,0,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.04
CASANARE,Geopark Cuerva Sucursal Colombia LL (HUPECOL LL CARACARA),PAZ DE ARIPORO,CUERVA,CUERVA OESTE,0.07,0.08,0.08,0.08,0.09,0.08,0.09,0.09,0.1,0.11,0.12,0.11
CASANARE,Geopark Cuerva Sucursal Colombia LL (HUPECOL LL CARACARA),PAZ DE ARIPORO,CUERVA,CUERVA SUR,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CASANARE,Geopark Cuerva Sucursal Colombia LL (HUPECOL LL CARACARA),PAZ DE ARIPORO,CUERVA,CUERVA SUROESTE,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0
CASANARE,GRUPO C&C ENERGÍA BARBADOS SUCURSAL COLOMBIA.,YOPAL,E&P LLANOS 19,TORMENTO,0.24,0.36,0.44,0.41,0.42,0,0.02,0.34,0.24,0.2,0.15,0.1
CASANARE,Lewis Energy Colombia,TRINIDAD,GUACHIRIA,GUAHIBOS,0.03,0.03,0.03,0.03,0.01,0.03,0.02,0.03,0.03,0.03,0.03,0.02
CASANARE,Lewis Energy Colombia,TRINIDAD,GUACHIRIA,LOS ACEITES,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.02
CASANARE,Lewis Energy Colombia,TRINIDAD,GUACHIRIA,PRIMAVERA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CASANARE,Lewis Energy Colombia,TRINIDAD,GUACHIRIA SUR,TULIPAN,0.01,0.02,0.05,0.1,0.08,0.09,0.09,0.08,0.1,0.11,0.09,0.08
META,ECOPETROL,VILLAVICENCIO,APIAY,LA REFORMA,0.03,0.03,0.07,0.09,0.04,0,0.05,0.1,0.06,0,0,0
CASANARE,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),PAZ DE ARIPORO,DOROTEA,DOROTEA B,0.34,0.37,0.35,0.3,0.3,0.34,0.32,0.35,0.3,0.28,0.26,0.28
CASANARE,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),PAZ DE ARIPORO,LEONA,LEONA B,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),PAZ DE ARIPORO,LEONA,LEONA B NORTE,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),PAZ DE ARIPORO,LEONA,LEONA B SUR,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CASANARE,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),PAZ DE ARIPORO,LEONA,LEONA C,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,P1 ENERGY DELTA CORP. SUCURSAL COLOMBIA,MANI,E&P LLANOS 32,BANDOLA,0.34,0.3,0.25,0.25,0.23,0.21,0.21,0.22,0.11,0.21,0.2,0.18
CASANARE,P1 ENERGY DELTA CORP. SUCURSAL COLOMBIA,MANI,E&P LLANOS 32,MANICEÑO,0.11,0.12,0.13,0.13,0.13,0.12,0.11,0.11,0.02,0.08,0.07,0.07
CASANARE,P1 ENERGY DELTA CORP. SUCURSAL COLOMBIA,TAURAMENA,E&P LLANOS 32,CALONA,0,0,0,0,0,0.08,0,0,0,0,0,0.37
CASANARE,P1 ENERGY DELTA CORP. SUCURSAL COLOMBIA,TAURAMENA,E&P LLANOS 32,CARMENTEA,0,0,0,0,0.18,0.01,0.12,0.17,0.18,1.68,0.24,0.21
